;incollection:ID;author:string[];author-orcid:string[];booktitle:string;cdrom:string;chapter:int;cite:string[];cite-label:string[];crossref:string;ee:string[];ee-type:string[];i:string[];key:string;mdate:date;note:string;number:string;pages:string;publisher:string;publisher-href:string;publtype:string;sub:string[];sup:string[];title:string;url:string;year:int
44003;2868730;András Sárközy;;The Mathematics of Paul Erdős I;;;;;books/daglib/0037865;https://doi.org/10.1007/978-1-4614-7258-2_15;;;books/daglib/p/Sarkozy13;2017-05-16;;;221-232;;;;;;On Divisibility Properties of Sequences of Integers.;db/books/collections/GNB2013.html#Sarkozy13;2013
6099;6735;Helen Petrie|Nigel Bevan;0000-0002-0100-9846;The Universal Access Handbook;;;;;reference/crc/2009ua;https://doi.org/10.1201/9781420064995-c20;;;reference/crc/PetrieB09;2018-11-30;;;1-16;;;encyclopedia;;;The Evaluation of Accessibility, Usability, and User Experience.;db/reference/crc/ua2009.html#PetrieB09;2009
53900;2883231;Eric Bittar|Marie-Paule Gascuel|Nicolas Tsingos;;Computer Graphics;;;;;books/el/95/EV1995;https://doi.org/10.1016/b978-0-12-227741-2.50005-0;;;books/el/95/TsingosBG95;2019-06-26;;;3-15;;;;;;Implicit Surfaces for Semi-automatic Medical Organ Reconstruction.;db/books/collections/EV1995.html#TsingosBG95;1995
40864;2856499;Andrés García|Javier de Lope Asiaín|José Antonio Martín H.|Matilde Santos Peñas;0000-0001-9779-6057|0000-0003-1993-8368;Innovations in Hybrid Intelligent Systems;;;;;series/asc/2008-44;https://doi.org/10.1007/978-3-540-74972-1_15;;;series/asc/HSGA08;2021-10-14;;;104-111;;;;;;A Computational Model of the Equivalence Class Formation Psychological Phenomenon.;db/series/asc/asc44.html#HSGA08;2008
50115;2877231;Okan K. Ersoy;;Algorithms and Architectures;;;;;books/mk/98/L1998;https://doi.org/10.1016/s1874-5946(98)80075-8;;;books/mk/98/Ersoy98;2020-05-14;;;363-400;;;;;;Parallel, self-organizing, hierarchical neural network systems.;db/books/collections/L1998.html#Ersoy98;1998
35062;2847897;Amandeep Verma|Arun Kumar Sangaiah|Sakshi Kaushal;0000-0002-0229-2460|0000-0002-3647-0341;Intelligent Decision Support Systems for Sustainable Computing;;;;;series/sci/2017-705;https://doi.org/10.1007/978-3-319-53153-3_4;;;series/sci/VermaKS17;2019-10-19;;;53-76;;;;;;Computational Intelligence Based Heuristic Approach for Maximizing Energy Efficiency in Internet of Things.;db/series/sci/sci705.html#VermaKS17;2017
16231;16901;;;Encyclopedia of Biometrics;;;;;reference/bio/2009;https://doi.org/10.1007/978-0-387-73003-5_2480;;;reference/bio/X09xkh;2017-07-12;;;1367;;;encyclopedia;;;User-dependent Fusion.;db/reference/bio/u.html#X09xkh;2009
31015;2843432;Alfred Theorin|Charlotta Johnsson|Lisa Ollinger;;Service Orientation in Holonic and Multi Agent Manufacturing and Robotics;;;;;series/sci/2013-472;https://doi.org/10.1007/978-3-642-35852-4_14;;;series/sci/TheorinOJ13;2017-05-16;;;213-228;;;;;;Service-Oriented Process Control with Grafchart and the Devices Profile for Web Services.;db/series/sci/sci472.html#TheorinOJ13;2013
6559;7200;;;Encyclopedia of Multimedia;;;;;reference/mm/2008;https://doi.org/10.1007/978-0-387-78414-4_263;;;reference/mm/X08lw;2017-07-12;;;989-991;;;encyclopedia;;;WMV-9 Video Compression.;db/reference/mm/mm2008.html#X08lw;2008
62724;2893920;Anthony J. Maeder|Belal Saeed Alsinglawi|Mahmoud Elkhodr|Mohammad Dahman Alshehri|Quang Vinh Nguyen|Simeon Simoff|Upul Gunawardana;0000-0002-0815-6224|0000-0003-0316-3641;Recent Trends and Advances in Wireless and IoT-enabled Networks;;;;;books/sp/19/JKA2019;https://doi.org/10.1007/978-3-319-99966-1_7;;;books/sp/19/AlsinglawiNGSMEA19;2021-10-14;;;73-81;;;;;;Passive RFID Localization in the Internet of Things.;db/books/collections/JKA2019.html#AlsinglawiNGSMEA19;2019
