;phdthesis:ID;author:string[];author-orcid:string;ee:string[];ee-type:string[];i:string[];isbn:string[];isbn-type:string[];key:string;mdate:date;month:string;note:string[];note-type:string[];number:string;pages:string[];publisher:string;publtype:string;school:string[];series:string;series-href:string;sub:string[];sup:string[];title:string;volume:string;year:int[]
69393;8964297;Michael Unger 0001;;https://d-nb.info/1013760158;;;978-3-8440-0204-1;;phd/de/Unger2011;2021-07-17;;;;;1-159;;;RWTH Aachen University;;;;;Estimation of 3D structure and camera calibration from images under noisy conditions.;;2011
69231;8964135;Niklas Iblher;;https://d-nb.info/1053227590|https://d-nb.info/976037521|https://nbn-resolving.org/urn:nbn:de:gbv:ma9:1-1982;;;;;phd/de/Iblher2004;2021-07-17;;;;;;;;Otto von Guericke University Magdeburg;;;;;Computergestützte interaktive Leitlinien auf der Basis von XML-Standards demonstriert an der Behandlung kolorektaler Karzinome.;;2004
64821;8959685;M. Abdelaziz Elaabid;;https://tel.archives-ouvertes.fr/tel-00937136;oa;;;;phd/hal/Elaabid11;2020-07-21;;;;;;;;Paris 8 University, Saint-Denis, France|Télécom ParisTech, France;;;;;Attaques par canaux cachés : expérimentations avancées sur les attaques template. (Side channel attacks: advanced experimentions on template attacks).;;2011
15672;8910456;Michael Lass;;https://d-nb.info/1252378327|https://nbn-resolving.org/urn:nbn:de:hbz:466:2-40404;;;;;phd/dnb/Lass22;2022-03-07;;;;;;;;University of Paderborn, Germany;;;;;Bringing Massive Parallelism and Hardware Acceleration to Linear Scaling Density Functional Theory Through Targeted Approximations.;;2022
41539;8936394;Anthony Davey;;http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.586183|http://hdl.handle.net/1842/8112;;;;;phd/ethos/Davey74;2016-08-11;;British Library, EThOS;source;;;;;University of Edinburgh, UK;;;;;The formalisation of discourse production.;;1974
2917;8897672;Christopher Lindblad;;http://hdl.handle.net/1721.1/37744;;;;;phd/ndltd/Lindblad94;2017-05-05;;ndltd.org (oai:dspace.mit.edu:1721.1/37744);source;;;;;Massachusetts Institute of Technology, Cambridge, MA, USA;;;;;A programming system for the dynamic manipulation of temporally sensitive data.;;1994
47457;8942315;Efstathios Stathakidis;;http://epubs.surrey.ac.uk/808091/|http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.665261;;;;;phd/ethos/Stathakidis15;2016-10-28;;British Library, EThOS;source;;;;;University of Surrey, Guildford, UK;;;;;Formal modelling and analysis of mix net implementations.;;2015
24944;8919767;Erik Sy;;http://ediss.sub.uni-hamburg.de/volltexte/2020/10657/|https://d-nb.info/1216998221|https://nbn-resolving.org/urn:nbn:de:gbv:18-106579;;;;;phd/dnb/Sy20;2021-07-17;;;;;;;;University of Hamburg, Germany;;;;;Enhanced Performance and Privacy for Core Internet Protocols.;;2020
53653;8948516;Julien Dusser;;https://tel.archives-ouvertes.fr/tel-00557080;oa;;;;phd/hal/Dusser10;2020-07-21;;;;;;;;University of Rennes 1, France;;;;;Blocs nuls dans la hiérarchie mémoire.;;2010
14800;8909580;Rafael Schirru;;https://d-nb.info/1034822756|https://d-nb.info/1037413350|https://kluedo.ub.uni-kl.de/frontdoor/index/index/docId/3511|https://nbn-resolving.org/urn:nbn:de:hbz:386-kluedo-35119;;;;;phd/dnb/Schirru13;2021-07-17;;;;;1-174;;;University of Kaiserslautern;;;;;Contextualized recommendations for the socio-semantic web.;;2013
