;proceedings:ID;address:string;author:string[];booktitle:string;cite:string[];cite-label:string[];editor:string[];editor-orcid:string[];ee:string[];ee-type:string[];i:string;isbn:string[];isbn-type:string[];journal:string;key:string;mdate:date;note:string[];note-type:string;number:string;pages:string;publisher:string[];publisher-href:string;publtype:string;school:string;series:string[];series-href:string[];sub:string;sup:string[];title:string;url:string[];volume:string;year:int
44401;8541522;;;ICWSM;;;Samuel Gosling|William W. Cohen;;;;;;;;conf/icwsm/2010;2010-09-01;;;;;The AAAI Press;;;;;;;;Proceedings of the Fourth International Conference on Weblogs and Social Media, ICWSM 2010, Washington, DC, USA, May 23-26, 2010;db/conf/icwsm/icwsm2010.html;;2010
21768;7198996;;;PLAS@ECOOP;;;Alejandro Russo|Omer Tripp;;http://dl.acm.org/citation.cfm?id=2637113;;;978-1-4503-2862-3;;;conf/ecoop/2014plas;2014-11-20;;;;;ACM;;;;;;;;Proceedings of the Ninth Workshop on Programming Languages and Analysis for Security, PLAS@ECOOP 2014, Uppsala, Sweden, July 29, 2014;db/conf/ecoop/plas2014.html;;2014
1000;5876103;;;PADL;;;Claudio V. Russo|Neng-Fa Zhou;;https://doi.org/10.1007/978-3-642-27694-1;;;978-3-642-27693-4;;;conf/padl/2012;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Practical Aspects of Declarative Languages - 14th International Symposium, PADL 2012, Philadelphia, PA, USA, January 23-24, 2012. Proceedings;db/conf/padl/padl2012.html;7149;2012
11420;6520698;;;WMT@ACL;;;Chris Callison-Burch|Christof Monz|Kay Peterson|Omar Zaidan|Philipp Koehn;;https://aclanthology.org/W10-1700/|https://aclanthology.org/volumes/W10-17/;oa|oa;;978-1-932432-71-8;;;conf/wmt/2010;2021-08-06;;;;;Association for Computational Linguistics;;;;;;;;Proceedings of the Joint Fifth Workshop on Statistical Machine Translation and MetricsMATR, WMT@ACL 2010, Uppsala, Sweden, July 15-16, 2010;db/conf/wmt/wmt2010.html;;2010
26166;7460487;;;JIISIC;;;André Carlos Ponce de Leon Ferreira de Carvalho|José Carlos Maldonado|Juan Carlos Augusto|Manoel Gomes de Mendonça Neto|Silvia Teresita Acuña;;;;;85-87837-06-0;;;conf/jiisic/2002;2019-03-29;;;;;;;;;;;;;Proceedings of 2nd Ibero-American Symposium on Software Engineering and Knowledge Engineering (JIISIC'02), Salvador, Brasil, October 2002;db/conf/jiisic/jiisic2002.html;;2002
15657;6847801;;;HLT-NAACL;;;;;https://aclanthology.org/N10-1000/|https://aclanthology.org/volumes/N10-1/;oa|oa;;978-1-932432-65-7;;;conf/naacl/2010;2021-08-06;;;;;The Association for Computational Linguistics;;;;;;;;Human Language Technologies: Conference of the North American Chapter of the Association of Computational Linguistics, Proceedings, June 2-4, 2010, Los Angeles, California, USA;db/conf/naacl/naacl2010.html;;2010
43123;8448505;;;SQAMIA;;;Zoran Budimac;;http://ceur-ws.org/Vol-1053|https://nbn-resolving.org/urn:nbn:de:0074-1053-7;oa;;;;;conf/sqamia/2013;2020-02-12;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 2nd Workshop on Software Quality Analysis, Monitoring, Improvement, and Applications, Novi Sad, Serbia, September 15-17, 2013.;db/conf/sqamia/sqamia2013.html;1053;2013
18073;6978458;;;Euro-Par Workshops (1);;;Alexandru Costan|Christian Lengauer|Emmanuel Jeannot|Gabor Kecskemeti|Jens Breitbart|Jesús Carretero 0001|José Gracia|Julius Zilinskas|Laura Ricci|Luís M. B. Lopes|Mario Cannataro|Michael Alexander|Roberto G. Cascella|Salvador Petit|Sascha Hunold|Siegfried Benkner|Stefan Lankes|Stephen L. Scott|Vittorio Scarano;0000-0002-8925-6592|0000-0003-2426-4134|0000-0003-4718-2238;https://doi.org/10.1007/978-3-319-14325-5;;;978-3-319-14324-8;;;conf/europar/2014w1;2021-10-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Euro-Par 2014: Parallel Processing Workshops - Euro-Par 2014 International Workshops, Porto, Portugal, August 25-26, 2014, Revised Selected Papers, Part I;db/conf/europar/europar2014w1.html;8805;2014
27875;7573469;;;NATO ASI DBM;;;Andrew B. Whinston|Clyde W. Holsapple;;https://doi.org/10.1007/978-94-009-7029-8;;;978-94-009-7029-8|978-94-009-7031-1;;;conf/nato/1981;2017-04-28;;;;;Springer;;;;Nato Advanced Study Institutes Series;;;;Data Base Management: Theory and Applications, Proceedings of the NATO Advanced Study Institute held at Estoril, Portugal, June 1-14, 1981.;db/conf/nato/dbm1981.html;98;1983
17886;6969155;;;MLDM;;;Petra Perner;;https://doi.org/10.1007/978-3-319-08979-9;;;978-3-319-08978-2;;;conf/mldm/2014;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Machine Learning and Data Mining in Pattern Recognition - 10th International Conference, MLDM 2014, St. Petersburg, Russia, July 21-24, 2014. Proceedings;db/conf/mldm/mldm2014.html;8556;2014
7034;6227942;;;ACM Conference on Computer Science;;;Jagan P. Agrawal|Vijay Kumar|Virgil Wallentine;;http://dl.acm.org/citation.cfm?id=131214;;;0-89791-472-4;;;conf/acm/1992;2015-04-23;;;;;ACM;;;;;;;;Proceedings of the ACM 20th Annual Conference on Computer Science, CSC '92, Kansas City, MO, USA, March 3-5, 1992;db/conf/acm/csc92.html;;1992
25332;7430124;;;PLDI;;;Amer Diwan|Michael Hind;;https://doi.org/10.1145/1542476|https://doi.org/10.1145/1543135;;;978-1-60558-392-1;;;conf/pldi/2009;2021-06-25;;;;;ACM;;;;;;;;Proceedings of the 2009 ACM SIGPLAN Conference on Programming Language Design and Implementation, PLDI 2009, Dublin, Ireland, June 15-21, 2009;db/conf/pldi/pldi2009.html;;2009
872;5870284;;;DCASE;;;Daniel P. W. Ellis|Justin Salamon|Michael I. Mandel;;https://doi.org/10.33682/1syg-dy60;;;978-0-578-59596-2;online;;conf/dcase/2019;2022-01-03;;;;;;;;;;;;;Proceedings of the Workshop on Detection and Classification of Acoustic Scenes and Events 2019 (DCASE 2019), New York University, NY, USA, October 2019;db/conf/dcase/dcase2019.html;;2019
41726;8389944;;;WACCPD@SC;;;Fernanda S. Foertter|Sunita Chandrasekaran;;https://doi.org/10.1145/2832105;;;978-1-4503-4014-4;;;conf/sc/2015waccpd;2020-10-26;;;;;ACM;;;;;;;;Proceedings of the Second Workshop on Accelerator Programming using Directives, WACCPD 2015, Austin, Texas, USA, November 15, 2015;db/conf/sc/waccpd2015.html;;2015
12538;6604268;;;ALT;;;Gilles Stoltz|Nader H. Bshouty|Nicolas Vayatis|Thomas Zeugmann;;https://doi.org/10.1007/978-3-642-34106-9;;;978-3-642-34105-2;;;conf/alt/2012;2019-05-14;;;;;Springer;;;;Lecture Notes in Computer Science;db/series/lncs/index.html;;;Algorithmic Learning Theory - 23rd International Conference, ALT 2012, Lyon, France, October 29-31, 2012. Proceedings;db/conf/alt/alt2012.html;7568;2012
5927;6176646;;;SemAnnot@ISWC;;;Marja-Riitta Koivunen|Rose Dieng|Siegfried Handschuh|Steffen Staab|Thierry Declerck|V. Richard Benjamins;;http://ceur-ws.org/Vol-184;oa;;;;;conf/semweb/2004semannot;2019-05-28;;;;;CEUR-WS.org;;;;CEUR Workshop Proceedings;db/series/ceurws/index.html;;;Proceedings of the 4th International Workshop on Knowledge Markup and Semantic Annotation ( SemAnnot 2004 ) located at the 3rd International Semantic Web Conference ISWC 2004 8th November 2004, Hiroshima, Japan;db/conf/semweb/semannot2004.html;184;2004
