,www:ID,author:string[],author-bibtex:string[],cite:string[],crossref:string,editor:string[],ee:string,key:string,mdate:date,note:string[],note-label:string[],note-type:string[],publtype:string,title:string[],url:string[],url-type:string[],year:int
295251,"2259414,5157764,Joanna Klimiuk-Myszk,,,,,,homepages/218/8513,2018-05-07,,,,,Home Page,,,",,,,,,,,,,,,,,,,
175380,"1673801,4572151,Hiromu Kato,,,,,,homepages/160/5281,2015-03-24,,,,,Home Page,,,",,,,,,,,,,,,,,,,
255278,"1763143,4661493,Waiming Zhu|Zhu Waiming,,,,,,homepages/233/2469,2019-05-09,""Hefei University of Technology, School of Management, China|Ministry of Education, Key Laboratory of Process Optimization and Intelligent Decision-making, Hefei, China"",,affiliation|affiliation,,Home Page,https://orcid.org/0000-0001-7134-6584,,",,,,,,,,,,,,,,,,
130325,"2887470,5785820,Kai Zhan,,,,,,homepages/128/0235,2013-04-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
292935,"2878513,5776863,Victor F. Gomes,,,,,,homepages/96/3719,2009-06-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
221318,"2024046,4922396,Kent Lydecker,,,,,,homepages/18/3488,2009-06-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
111014,"1716597,4614947,Robert E. Tarjan|Robert Endre Tarjan,,,,,,homepages/t/RobertEndreTarjan,2022-02-10,""Frederick W. Lanchester Prize|Paris Kanellakis Award|Princeton University, Department of Computer Science, NJ, USA|Turing Award"",1984|1986|1999,affiliation|award|award|award,,Home Page,http://amturing.acm.org/award_winners/tarjan_1092048.cfm|http://isni.org/isni/0000000109156552|https://d-nb.info/gnd/1070878286|https://dl.acm.org/profile/81100645220|https://en.wikipedia.org/wiki/Robert_Tarjan|https://id.loc.gov/authorities/names/n83163891|https://mathgenealogy.org/id.php?id=53460|https://scholar.google.com/citations?user=lazJixIAAAAJ|https://viaf.org/viaf/73933029|https://www.cs.princeton.edu/~ret/|https://www.scopus.com/authid/detail.uri?authorId=7005824748|https://www.wikidata.org/entity/Q92638|https://zbmath.org/authors/?q=ai:tarjan.robert-endre,,",,,,,,,,,,,,,,,,
48960,"1395452,4293802,Akira Taji,,,,,,homepages/263/4551,2020-04-23,,,,,Home Page,,,",,,,,,,,,,,,,,,,
254380,"2063568,4961918,Nathan Madrid,,,,,,homepages/40/872,2009-06-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
288483,"47483,2945833,Mohamed Benhayoun,,,,,,homepages/143/5800,2014-03-29,,,,,Home Page,,,",,,,,,,,,,,,,,,,
80676,"1393914,4292264,D. F. Goessling,,,,,,homepages/151/5378,2014-09-29,,,,,Home Page,,,",,,,,,,,,,,,,,,,
267446,"721367,3619717,Mahendra Talasila,,,,,,homepages/163/8869,2015-06-19,,,,,Home Page,,,",,,,,,,,,,,,,,,,
72095,"1710077,4608427,Andreas Schiller,,,,,,homepages/123/9998,2013-01-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
132539,"2655833,5554183,Elahe Yarmoghaddam,,,,,,homepages/312/3559,2022-01-31,,,,,Home Page,,,",,,,,,,,,,,,,,,,
282796,"303782,3202132,Patrick Longhini,,,,,,homepages/26/2340,2009-06-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
208278,"1467840,4366190,Orly Ullman,,,,,,homepages/164/0290,2015-06-22,,,,,Home Page,,,",,,,,,,,,,,,,,,,
260783,"2533112,5431462,Gretchen J. Darlington,,,,,,homepages/28/1833,2009-06-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
91202,"101436,2999786,Ahmed Salim Chekkouri,,,,,,homepages/137/6808,2013-11-28,,,,,Home Page,,,",,,,,,,,,,,,,,,,
138696,"926410,3824760,Eduardo Godinho Ribeiro,,,,,,homepages/276/5509,2020-10-20,,,,,Home Page,,,",,,,,,,,,,,,,,,,
257402,"398714,3297064,Yilmaz Tunçer,,,,,,homepages/120/4380,2012-10-26,,,,,Home Page,,,",,,,,,,,,,,,,,,,
187726,"2672077,5570427,Ali M. Gaze,,,,,,homepages/227/5725,2018-10-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
263117,"1773878,4672228,Songwei Zeng,,,,,,homepages/141/3965,2014-02-14,,,,,Home Page,,,",,,,,,,,,,,,,,,,
54816,"66903,2965253,Laura Hartz,,,,,,homepages/17/1142,2009-06-09,,,,,Home Page,,,",,,,,,,,,,,,,,,,
128405,"626977,3525327,Yangxi Xiang,,,,,,homepages/247/9496,2019-08-29,,,,,Home Page,,,",,,,,,,,,,,,,,,,
155192,"548582,3446932,Niraj Upadhyaya,,,,,,homepages/121/2404,2012-11-13,,,,,Home Page,,,",,,,,,,,,,,,,,,,
86895,"2820965,5719315,Hallvard Moian Nydal,,,,,,homepages/239/3033,2019-04-18,,,,,Home Page,,,",,,,,,,,,,,,,,,,
6043,"1145595,4043945,Abdelhalim Zerroug,,,,,,homepages/167/7486,2015-09-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
60094,"2056985,4955335,Zhongqiang Liu,,,,,,homepages/90/9542,2011-05-11,,,,,Home Page,,,",,,,,,,,,,,,,,,,
15194,"1073309,3971659,Yuanwang Wu,,,,,,homepages/234/4108,2019-01-28,,,,,Home Page,,,",,,,,,,,,,,,,,,,
97268,"531937,3430287,Sarah-Jane Schramm,,,,,,homepages/157/9536,2015-02-04,,,,,Home Page,,,",,,,,,,,,,,,,,,,
9309,"70744,2969094,Taro Kawagishi,,,,,,homepages/06/249,2009-06-08,,,,,Home Page,,,",,,,,,,,,,,,,,,,
140981,"694181,3592531,Mattia Bonomi,,,,,,homepages/184/8217,2017-04-26,,,,,Home Page,,,",,,,,,,,,,,,,,,,
77152,"918044,3816394,D. Morgenthaler,,,,,,homepages/186/3376,2016-09-28,,,,,Home Page,,,",,,,,,,,,,,,,,,,
172040,"2256638,5154988,Sang Ok Park,,,,,,homepages/218/0954,2018-04-24,,,,,Home Page,,,",,,,,,,,,,,,,,,,
268969,"2635836,5534186,Swantje Nikolai,,,,,,homepages/83/7121,2009-07-02,,,,,Home Page,,,",,,,,,,,,,,,,,,,
167234,"1173549,4071899,S. Adil Saribay,,,,,,homepages/278/9914,2020-11-20,,,,,Home Page,,,",,,,,,,,,,,,,,,,
185722,"2742013,5640363,Iben R. Thomsen,,,,,,homepages/300/9400,2021-09-03,,,,,Home Page,,,",,,,,,,,,,,,,,,,
201528,"2871040,5769390,Atsushi Hiroike,,,,,,homepages/96/3400,2009-06-10,,,,,Home Page,,,",,,,,,,,,,,,,,,,
241203,"1264029,4162379,Giuseppe Vietri,,,,,,homepages/223/0824,2018-07-16,,,,,Home Page,,,",,,,,,,,,,,,,,,,
26124,"2433019,5331369,Luxsumi Jeevananthan,,,,,,homepages/244/7628,2019-07-14,,,,,Home Page,,,",,,,,,,,,,,,,,,,
27958,"2315015,5213365,Garry Dunne,,,,,,homepages/66/7219,2009-08-20,,,,,Home Page,,,",,,,,,,,,,,,,,,,
21812,"1493972,4392322,Ranjith Venkatesan,,,,,,homepages/188/0253,2016-10-26,,,,,Home Page,,,",,,,,,,,,,,,,,,,
66338,"1435223,4333573,Tsutomu Fujii,,,,,,homepages/133/2904,2013-08-22,,,,,Home Page,,,",,,,,,,,,,,,,,,,
